,Division 1A Afdeling,,,,,,Division 2A Afdeling,,,Division 2B Afdeling
1,301 KOSK 1,,,,,1,703 Eisden/MSK-Dilsen 1,,1,301 KOSK 2
2,471 Wachtebeke 1,,,,,2,176 Rokade Westerlo 1,,2,109 Borgerhout 1
3,432 Wetteren 1,,,,,3,401 KGSRL 2,,3,114 Mechelen 1
4,621 T.A.L 621 1,,,,,4,952 Wavre 1,,4,401 KGSRL 3
5,166 TSM Mechelen 1,,,,,5,239 Boitsfort 1,,5,166 TSM Mechelen 2
6,601 CRELEL 1,,,,,6,226 Europchess 1,,6,462 Zottegem 1
7,303 KBSK Brugge 1,,,,,7,501 CREC Charleroi 1,,7,303 KBSK Brugge 2
8,401 KGSRL 1,,,,,8,618 Echiquier Mosan 1,,8,278 Pantin 1
9,402 Jean Jaurès Gent 1,,,,,9,607 KSK Rochade 2,,9,261 Gambiet Opwijk 1
10,607 KSK Rochade 1,,,,,10,514 MCC 1,,10,209 The Belgian CC 1
11,230 Leuven Centraal 1,,,,,11,231 Dolle Toren Leuven 1,,11,436 LSV-Chesspirant 1
12,901 Namur Echecs 1,,,,,12,548 Caïssa Europe 1,,12,124 Deurne 1

,Division 3A Afdeling,,,Division 3B Afdeling,,,Division 3C Afdeling,,,Division 3D Afdeling
1,174 Brasschaat 1,,1,207 2 Fous Diogène 1,,1,302 KISK Ieper 1,,1,727 Midden Limburg 1
2,101 KASK 1,,2,244 Brussels 1,,2,340 Izegem 1,,2,244 Brussels 2
3,114 Mechelen 2,,3,228 Dworp 1,,3,432 Wetteren 2,,3,627 Wirtzfeld 1
4,260 Kapelle-op-den Bos 1,,4,239 Boitsfort 2,,4,309 KRST 1,,4,810 Marche-en-Famenne 1
5,401 KGSRL 4,,5,417 Pion-Aalst 1,,5,313 KWSLE 1,,5,604 KSK47-Eynatten 1
6,128 Beveren 1,,6,226 Europchess 2,,6,541 Leuze 1,,6,601 CRELEL 2
7,132 Oude God 1,,7,548 Caïssa Europe 2,,7,303 KBSK Brugge 3,,7,601 CRELEL 3
8,410 St.-Niklaas 1,,8,278 Pantin 2,,8,472 De Mercatel 1,,8,230 Leuven Centraal 2
9,708 NLS Lommel 1,,9,201 CREB Bruxelles 1,,9,521 Tournai 1,,9,607 KSK Rochade 3
10,143 Boey Temse 1,,10,401 KGSRL 5,,10,401 KGSRL 6,,10,135 Geel 1
11,425 Dendermonde 1,,11,511 EDC 1,,11,436 LSV-Chesspirant 2,,11,231 Dolle Toren Leuven 2
12,174 Brasschaat 2,,12,418 VPTD Geraardsbergen 1,,12,430 Landegem 1,,12,901 Namur Echecs 2

,Division 4A Afdeling,,,Division 4B Afdeling,,,Division 4C Afdeling,,,Division 4D Afdeling
1,727 Midden Limburg 2,,1,174 Brasschaat 3,,1,301 KOSK 3,,1,901 Namur Echecs 3
2,712 Landen 1,,2,109 Borgerhout 2,,2,302 KISK Ieper 2,,2,230 Leuven Centraal 3
3,627 Wirtzfeld 2,,3,101 KASK 2,,3,432 Wetteren 3,,3,228 Dworp 2
4,621 T.A.L 621 2,,4,436 LSV-Chesspirant 3,,4,422 MSV 1,,4,909 Philippeville 1
5,604 KSK47-Eynatten 2,,5,714 Overpelt 1,,5,521 Tournai 2,,5,551 HCC Jurbise 1
6,601 CRELEL 4,,6,194 ChessLooks Lier 1,,6,307 Bredene 1,,6,601 CRELEL 6
7,601 CRELEL 5,,7,132 Oude God 2,,7,303 KBSK Brugge 4,,7,501 CREC Charleroi 2
8,618 Echiquier Mosan 2,,8,465 Artevelde 1,,8,472 De Mercatel 2,,8,952 Wavre 2
